start,end,n,democratic_start,democratic_end,share_start,share_end,gains,losses,net,endpoint_up,endpoint_down,delta_bootstrap95,paired_binomial_p
1950,2025,106,39,70,0.36792452830188677,0.660377358490566,84,53,31,35,4,"[0.18867924528301888, 0.39622641509433965]",3.353161446284503e-07
1975,2025,165,46,94,0.2787878787878788,0.5696969696969697,107,59,48,51,3,"[0.21818181818181817, 0.3696969696969697]",2.9187763317395365e-12
2000,2025,192,108,111,0.5625,0.578125,40,37,3,17,14,"[-0.041666666666666664, 0.07291666666666667]",0.720100131817162
2010,2025,193,115,112,0.5958549222797928,0.5803108808290155,23,26,-3,11,14,"[-0.06735751295336788, 0.03626943005181347]",0.6900379657745361
