start,end,n,democratic_start,democratic_end,share_start,share_end,gains,losses,net,endpoint_up,endpoint_down,delta_bootstrap95,paired_binomial_p
1789,2025,35,0,19,0.0,0.5428571428571428,40,21,19,19,0,"[0.37142857142857144, 0.7142857142857143]",3.814697265625e-06
1800,2025,39,0,21,0.0,0.5384615384615384,46,25,21,21,0,"[0.38461538461538464, 0.6923076923076923]",9.5367431640625e-07
1900,2025,105,5,58,0.047619047619047616,0.5523809523809524,114,61,53,53,0,"[0.4095238095238095, 0.6]",2.220446049250313e-16
1950,2025,145,23,80,0.15862068965517243,0.5517241379310345,129,72,57,57,0,"[0.3103448275862069, 0.47586206896551725]",1.3877787807814457e-17
1975,2025,153,35,81,0.22875816993464052,0.5294117647058824,114,68,46,49,3,"[0.2222222222222222, 0.3790849673202614]",1.042677055806962e-11
2000,2025,172,84,87,0.4883720930232558,0.5058139534883721,59,56,3,20,17,"[-0.05232558139534884, 0.0872093023255814]",0.7428293587290682
2010,2025,176,93,87,0.5284090909090909,0.4943181818181818,32,38,-6,9,15,"[-0.09090909090909091, 0.022727272727272728]",0.30745625495910645
